WardCode,WardName
12504,Borno_Ngala_Gamboru C
12505,Borno_Ngala_Logumane
12506,Borno_Ngala_Ndufu
12507,Borno_Ngala_Ngala
12508,Borno_Ngala_Shehuri
10810,Borno_Dikwa_Margata
12510,Borno_Ngala_Wulgo
12511,Borno_Ngala_Wulgo
12602,Borno_Nganzai_Badu
12603,Borno_Nganzai_Damaram
12604,Borno_Nganzai_Gajiram
12605,Borno_Nganzai_Kurnawa
12606,Borno_Nganzai_Jigalta
12607,Borno_Nganzai_Kuda
12608,Borno_Nganzai_Alarge
12609,Borno_Nganzai_Maiwa
12610,Borno_Nganzai_Miye
12611,Borno_Nganzai_Sabsabuwa
12612,Borno_Nganzai_Sugundare
12615,Borno_Nganzai_Lakudum
12701,Borno_Shani_Bargu
12702,Borno_Shani_Buma
12703,Borno_Shani_Gasi
12704,Borno_Shani_Gora
12705,Borno_Shani_Gwaskara
12706,Borno_Shani_Gwalasho
12707,Borno_Shani_Kubo
12709,Borno_Shani_Kombo
12710,Borno_Shani_Shani
12711,Borno_Shani_Walama
10205,Borno_Askira-Uba_Lassa
11306,Borno_Jere_Galtimari
12303,Borno_Monguno_Kumalia
11703,Borno_Kukawa_Barwati
11612,Borno_Konduga_Yajiwa
10301,Borno_Bama_Abbaram
10302,Borno_Bama_Amchaka
10303,Borno_Bama_Andara
10304,Borno_Bama_Kumshe
10305,Borno_Bama_Banki
10306,Borno_Bama_Bogomari
10307,Borno_Bama_Darajamal
11109,Borno_Gwoza_Kirawa
10308,Borno_Bama_Goniri
10310,Borno_Bama_Kasugula
10312,Borno_Bama_Soye
10311,Borno_Bama_Shehuri
10309,Borno_Bama_Gulumba
10314,Borno_Bama_Zageri
10801,Borno_Dikwa_Afuye
10803,Borno_Dikwa_Dikwa
10808,Borno_Dikwa_Ngudoram
10804,Borno_Dikwa_Gajibo
10807,Borno_Dikwa_M. Kaza
12509,Borno_Ngala_Warshele
11707,Borno_Kukawa_Kauwa
11704,Borno_Kukawa_Bundur
11705,Borno_Kukawa_Dogoshi
11007,Borno_Guzamala_Guworam
11708,Borno_Kukawa_Kekeno
11709,Borno_Kukawa_Kukawa
12102,Borno_Marte_A Lawant
12112,Borno_Marte_Njine
12101,Borno_Marte_Ala
12305,Borno_Monguno_Mintar
12104,Borno_Marte_Borsori
12107,Borno_Marte_Kirenowa
12109,Borno_Marte_Marte
12110,Borno_Marte_Musune
12111,Borno_Marte_Muwalli
12103,Borno_Marte_Badairi
12401,Borno_Maiduguri_Bolori I
12404,Borno_Maiduguri_Fezzan
12405,Borno_Maiduguri_Gamboru
12403,Borno_Maiduguri_Bulabulin
12406,Borno_Maiduguri_Hausari
12410,Borno_Maiduguri_Lamisula
12413,Borno_Maiduguri_Maisandari
12415,Borno_Maiduguri_Shehuri South
11303,Borno_Jere_Gomari
12201,Borno_Mobbar_Asaga
12205,Borno_Mobbar_Duji
12202,Borno_Mobbar_Bogum
12206,Borno_Mobbar_Gashigar
12204,Borno_Mobbar_Chamba
12210,Borno_Mobbar_Zari
12208,Borno_Mobbar_Layi
12207,Borno_Mobbar_Kareto
12209,Borno_Mobbar_Z.Umarti
10708,Borno_Damboa_Ajigin A'
10709,Borno_Damboa_Ajigin B'
10701,Borno_Damboa_Azir Multe
10702,Borno_Damboa_Bego
10604,Borno_Chibok_Kuburmbula
10705,Borno_Damboa_Mulgo Kopchi
10608,Borno_Chibok_Mbokura
10706,Borno_Damboa_Nzuda Wuyaram
10707,Borno_Damboa_Wawa Korode
10703,Borno_Damboa_Damboa Central
11911,Borno_Mafa_Tamsu Ngamdua
11502,Borno_Kala-Balge_Jilbe
11504,Borno_Kala-Balge_K Kumaga
11503,Borno_Kala-Balge_Jarawa
11508,Borno_Kala-Balge_K Kaudi
11501,Borno_Kala-Balge_Daima
10802,Borno_Dikwa_Boboshe
10805,Borno_Dikwa_Muliye
10809,Borno_Dikwa_Ufaye
10806,Borno_Dikwa_M. Maja
11701,Borno_Kukawa_Alagarno
11706,Borno_Kukawa_Doro
11702,Borno_Kukawa_Baga
11710,Borno_Kukawa_Yoyo
12106,Borno_Marte_Kabulawa
12108,Borno_Marte_Kulli
12003,Borno_Magumeri_Borno Yesu
12008,Borno_Magumeri_Kararam
10902,Borno_Gubio_Felo
12613,Borno_Nganzai_Gadai
10903,Borno_Gubio_Gazabure
10904,Borno_Gubio_Gobio 1
10906,Borno_Gubio_Kingowa
10905,Borno_Gubio_Gobio 2
10901,Borno_Gubio_Ardimini
10907,Borno_Gubio_Ngetra
10908,Borno_Gubio_Zowo
10910,Borno_Gubio_Dabira
10911,Borno_Gubio_Gamawu
12105,Borno_Marte_Gumna
12312,Borno_Monguno_Zulum
10111,Borno_Abadam_Busuna
10711,Borno_Damboa_Kafa  Mafi
12203,Borno_Mobbar_Damasak
12409,Borno_Maiduguri_Gwange III
12408,Borno_Maiduguri_Gwange II
12407,Borno_Maiduguri_Gwange I
12402,Borno_Maiduguri_Bolori II
11305,Borno_Jere_Mashamari
12411,Borno_Maiduguri_Limanti
12412,Borno_Maiduguri_Mafoni
12414,Borno_Maiduguri_Shehuri North
JI0101,Jigawa_Auyo_Auyakayi
JI0102,Jigawa_Auyo_Auyo
JI0103,Jigawa_Auyo_Ayama
JI0104,Jigawa_Auyo_Ayan
JI0105,Jigawa_Auyo_Gamafoi
JI0106,Jigawa_Auyo_Gamsarka
JI0107,Jigawa_Auyo_Gatafa
JI0108,Jigawa_Auyo_Kafur
JI0109,Jigawa_Auyo_Tsidar
JI0110,Jigawa_Auyo_Unik
JI0201,Jigawa_Babura_Babura
JI0202,Jigawa_Babura_Batali
JI0203,Jigawa_Babura_Dorawa
JI0204,Jigawa_Babura_Garu
JI0205,Jigawa_Babura_Gasakoli
JI0206,Jigawa_Babura_Insharuwa
JI0207,Jigawa_Babura_Jigawa
JI0809,Jigawa_Garki_Muku
JI0209,Jigawa_Babura_Kuzunzumi
JI0210,Jigawa_Babura_Kyambo
JI0211,Jigawa_Babura_Takwasa
JI0301,Jigawa_Birnin Kudu_Birnin Kudu
JI0302,Jigawa_Birnin Kudu_Kangire
JI0303,Jigawa_Birnin Kudu_Kantoga
JI0304,Jigawa_Birnin Kudu_Kiyako
JI0305,Jigawa_Birnin Kudu_Kwangwara
JI0306,Jigawa_Birnin Kudu_Lafia
JI0307,Jigawa_Birnin Kudu_Sundimina
JI0308,Jigawa_Birnin Kudu_Surko
JI0309,Jigawa_Birnin Kudu_Unguwar Ya
JI0310,Jigawa_Birnin Kudu_Wurno
JI0311,Jigawa_Birnin Kudu_Yalwan Damai
JI0401,Jigawa_Biriniwa_Batu
JI0402,Jigawa_Biriniwa_Birniwa
JI0403,Jigawa_Biriniwa_Dangwaleri
JI0404,Jigawa_Biriniwa_Diginsa
JI0405,Jigawa_Biriniwa_Fagi
JI0406,Jigawa_Biriniwa_Kachallari
JI0407,Jigawa_Biriniwa_Karanga
JI0408,Jigawa_Biriniwa_Kazura
JI0409,Jigawa_Biriniwa_Machinamari
JI0410,Jigawa_Biriniwa_Matamu
JI0411,Jigawa_Biriniwa_Nguwa
JI0501,Jigawa_Buji_Ahoto
JI0502,Jigawa_Buji_Buji
JI0503,Jigawa_Buji_Chirbin
JI0504,Jigawa_Buji_Falgeri
JI0505,Jigawa_Buji_Gantsa
JI0506,Jigawa_Buji_Kawaya
JI0507,Jigawa_Buji_Kukuma
JI0508,Jigawa_Buji_Lelen Kudu
JI0509,Jigawa_Buji_Madabe
JI0510,Jigawa_Buji_Yayarin Tukur
JI0601,Jigawa_Dutse_Abaya
JI0602,Jigawa_Dutse_Chamo
JI0603,Jigawa_Dutse_Dundubus
JI0604,Jigawa_Dutse_Duru
JI0605,Jigawa_Dutse_Jigawar Tsada
JI0606,Jigawa_Dutse_Kachi
JI0607,Jigawa_Dutse_Karnaya
JI0608,Jigawa_Dutse_Kudai
JI0609,Jigawa_Dutse_Limawa
JI0610,Jigawa_Dutse_Madobi
JI0611,Jigawa_Dutse_Sakwaya
JI0701,Jigawa_Gagarawa_Gagarawa Gari
JI0702,Jigawa_Gagarawa_Gagarawa Tasha
JI0703,Jigawa_Gagarawa_Garin Chiroma
JI0704,Jigawa_Gagarawa_Kore Balatu
JI0705,Jigawa_Gagarawa_Madaka
JI0706,Jigawa_Gagarawa_Mai Aduwa
JI0707,Jigawa_Gagarawa_Maikilili
JI0708,Jigawa_Gagarawa_Medu
JI0709,Jigawa_Gagarawa_Yalawa
JI0710,Jigawa_Gagarawa_Zarada
JI0801,Jigawa_Garki_Baburi
JI0802,Jigawa_Garki_Doko
JI0803,Jigawa_Garki_Garki
JI0804,Jigawa_Garki_Gwarzo
JI0805,Jigawa_Garki_Jirima
JI0806,Jigawa_Garki_Kanya
JI0807,Jigawa_Garki_Kargo
JI0808,Jigawa_Garki_Kore
JI0810,Jigawa_Garki_Rafin Marke
JI0811,Jigawa_Garki_Sayori
JI0901,Jigawa_Gumel_Alhaji Barka
JI0902,Jigawa_Gumel_Bekarya
JI0903,Jigawa_Gumel_Dan Ama
JI0904,Jigawa_Gumel_Dantanoma
JI0905,Jigawa_Gumel_Galagamma
JI0906,Jigawa_Gumel_Garin Gambo
JI0907,Jigawa_Gumel_Gusau
JI0909,Jigawa_Gumel_Kofar Arewa
JI0910,Jigawa_Gumel_Kofar Yamma
JI0911,Jigawa_Gumel_Zango
JI1001,Jigawa_Guri_Abunabo
JI1002,Jigawa_Guri_Adiyani
JI1003,Jigawa_Guri_Dawa
JI1004,Jigawa_Guri_Garbagal
JI1005,Jigawa_Guri_Guri
JI1006,Jigawa_Guri_Kadira
JI1007,Jigawa_Guri_Lafiya
JI1008,Jigawa_Guri_Margadu
JI1009,Jigawa_Guri_Matara Babba
JI1010,Jigawa_Guri_Musari
JI1101,Jigawa_Gwaram_Basirka
JI1102,Jigawa_Gwaram_Dingaya
JI1103,Jigawa_Gwaram_Fagam
JI1104,Jigawa_Gwaram_Farin Dutse
JI1105,Jigawa_Gwaram_Gwaram
JI1106,Jigawa_Gwaram_Kila
JI1107,Jigawa_Gwaram_Kwondiko
JI1108,Jigawa_Gwaram_Maruta
JI1109,Jigawa_Gwaram_Sara
JI1110,Jigawa_Gwaram_Tsangarwa
JI1111,Jigawa_Gwaram_Zandam Nagogo
JI1201,Jigawa_Gwiwa_Buntusu
JI1202,Jigawa_Gwiwa_Dabi
JI1203,Jigawa_Gwiwa_Darina
JI1204,Jigawa_Gwiwa_Firji
JI1205,Jigawa_Gwiwa_Guntai
JI1206,Jigawa_Gwiwa_Gwiwa
JI1207,Jigawa_Gwiwa_Korayel
JI1208,Jigawa_Gwiwa_Rorau
JI1209,Jigawa_Gwiwa_Shafe
JI1210,Jigawa_Gwiwa_Yola
JI1211,Jigawa_Gwiwa_Zauma
JI1301,Jigawa_Hadejia_Atafi
JI1302,Jigawa_Hadejia_Dubantu
JI1303,Jigawa_Hadejia_Gagulmari
JI1304,Jigawa_Hadejia_Kasuwar Kofa
JI1305,Jigawa_Hadejia_Kasuwar Kuda
JI1306,Jigawa_Hadejia_Majema
JI1307,Jigawa_Hadejia_Matsaro
JI1308,Jigawa_Hadejia_Rumfa
JI1309,Jigawa_Hadejia_Sabon Garu
JI1310,Jigawa_Hadejia_Yankoli
JI1311,Jigawa_Hadejia_Yayari
JI1401,Jigawa_Jahun_Aujara
JI1402,Jigawa_Jahun_Gangawa
JI1403,Jigawa_Jahun_Gauza
JI1404,Jigawa_Jahun_Gunka
JI1405,Jigawa_Jahun_Harbo Sabuwa
JI1406,Jigawa_Jahun_Harbo Tsohuwa
JI1407,Jigawa_Jahun_Idanduna
JI1408,Jigawa_Jahun_Jabarna
JI1409,Jigawa_Jahun_Jahun
JI1410,Jigawa_Jahun_Kale
JI1411,Jigawa_Jahun_Kanwa
JI1501,Jigawa_Kafin Hausa_Bulangu
JI1502,Jigawa_Kafin Hausa_Dumadumi Toka
JI1503,Jigawa_Kafin Hausa_Gafaya
JI1504,Jigawa_Kafin Hausa_Jabbo
JI1505,Jigawa_Kafin Hausa_Kafin Hausa
JI1506,Jigawa_Kafin Hausa_Kwazailewa
JI1507,Jigawa_Kafin Hausa_Majawa
JI1508,Jigawa_Kafin Hausa_Mezan
JI1509,Jigawa_Kafin Hausa_Ruba
JI1510,Jigawa_Kafin Hausa_Tsarawa
JI1511,Jigawa_Kafin Hausa_Zango Kura
JI1601,Jigawa_Kaugama_Arbus
JI1602,Jigawa_Kaugama_Askandu
JI1603,Jigawa_Kaugama_Dabuwaran
JI1604,Jigawa_Kaugama_Dakaiyyawa
JI1605,Jigawa_Kaugama_Girbobo
JI1606,Jigawa_Kaugama_Hadin
JI1607,Jigawa_Kaugama_Jae
JI1608,Jigawa_Kaugama_Kaugama
JI1609,Jigawa_Kaugama_Marke
JI1610,Jigawa_Kaugama_Ung. Jibrin
JI1611,Jigawa_Kaugama_Yalo
JI1701,Jigawa_Kazaure_Baauzini
JI1702,Jigawa_Kazaure_Daba
JI1703,Jigawa_Kazaure_Dabaza
JI1704,Jigawa_Kazaure_Dandi
JI1705,Jigawa_Kazaure_Gada
JI1706,Jigawa_Kazaure_Kanti
JI1707,Jigawa_Kazaure_Maradawa
JI1708,Jigawa_Kazaure_Sabaru
JI1709,Jigawa_Kazaure_Ungwar Arewa
JI1710,Jigawa_Kazaure_Ungwar Gabas
JI1711,Jigawa_Kazaure_Ungwar Yamma
JI1801,Jigawa_Kiri Kasama_Baturiya
JI1802,Jigawa_Kiri Kasama_Bulunchai
JI1803,Jigawa_Kiri Kasama_Fandum
JI1804,Jigawa_Kiri Kasama_Gayin
JI1805,Jigawa_Kiri Kasama_Kiri Kasamma
JI1806,Jigawa_Kiri Kasama_Madachi
JI1807,Jigawa_Kiri Kasama_Marma
JI1808,Jigawa_Kiri Kasama_Saleri
JI1809,Jigawa_Kiri Kasama_Tasheguwa
JI1810,Jigawa_Kiri Kasama_Turabu
JI1901,Jigawa_Kiyawa_Andaza
JI1902,Jigawa_Kiyawa_Balago
JI1903,Jigawa_Kiyawa_Fake
JI1904,Jigawa_Kiyawa_Garko
JI1905,Jigawa_Kiyawa_Katanga
JI1906,Jigawa_Kiyawa_Katuka
JI1907,Jigawa_Kiyawa_Kiyawa
JI1908,Jigawa_Kiyawa_Kwanda
JI1909,Jigawa_Kiyawa_Maje
JI1910,Jigawa_Kiyawa_Shuwarin
JI1911,Jigawa_Kiyawa_Tsirma
JI2001,Jigawa_Maigatari_Balarabe
JI2002,Jigawa_Maigatari_Dankumbo
JI2003,Jigawa_Maigatari_Fulata
JI2004,Jigawa_Maigatari_Galadi
JI2005,Jigawa_Maigatari_Jajeri
JI2006,Jigawa_Maigatari_Kukayasku
JI2007,Jigawa_Maigatari_Madana
JI2008,Jigawa_Maigatari_Maigatari Arewa
JI2009,Jigawa_Maigatari_Maigatari Kudu
JI2010,Jigawa_Maigatari_Matoya
JI2011,Jigawa_Maigatari_Turbus
JI2101,Jigawa_Malam Maduri_Arki
JI2102,Jigawa_Malam Maduri_Dunari
JI2103,Jigawa_Malam Maduri_Fataika
JI2104,Jigawa_Malam Maduri_Garun Gabas
JI2105,Jigawa_Malam Maduri_Mairakumi
JI2106,Jigawa_Malam Maduri_Malam Madori
JI2107,Jigawa_Malam Maduri_Makaddari
JI2108,Jigawa_Malam Maduri_Shaiya
JI2109,Jigawa_Malam Maduri_Tagoro
JI2110,Jigawa_Malam Maduri_Tashena
JI2111,Jigawa_Malam Maduri_Toni Kutara
JI2201,Jigawa_Miga_Dangyatin
JI2202,Jigawa_Miga_Garbo
JI2203,Jigawa_Miga_Gwari
JI2204,Jigawa_Miga_Hantsu
JI2205,Jigawa_Miga_Koya
JI2206,Jigawa_Miga_Miga
JI2209,Jigawa_Miga_Tsakuwawa
JI2210,Jigawa_Miga_Yanduna
JI2211,Jigawa_Miga_Zareku
JI2301,Jigawa_Ringim_Chaichai
JI2302,Jigawa_Ringim_Dabi
JI2303,Jigawa_Ringim_Kafin Babushe
JI2304,Jigawa_Ringim_Karshi
JI2305,Jigawa_Ringim_Kyarama
JI2306,Jigawa_Ringim_Ringim
JI2307,Jigawa_Ringim_Sankara
JI2308,Jigawa_Ringim_Sintilmawa
JI2309,Jigawa_Ringim_Tofa
JI2310,Jigawa_Ringim_Yandutse
JI2401,Jigawa_Roni_Amaryawa
JI2402,Jigawa_Roni_Baragumi
JI2403,Jigawa_Roni_Dansure
JI2404,Jigawa_Roni_Fara Barije
JI2405,Jigawa_Roni_Gora
JI2406,Jigawa_Roni_Kwaita
JI2407,Jigawa_Roni_Roni
JI2408,Jigawa_Roni_Sankau
JI2409,Jigawa_Roni_Tunas
JI2410,Jigawa_Roni_Yanzaki
JI2411,Jigawa_Roni_Zugai
JI2501,Jigawa_Sule Tankakar_Albasu
JI2502,Jigawa_Sule Tankakar_Amanga
JI2503,Jigawa_Sule Tankakar_Dangwanki
JI2504,Jigawa_Sule Tankakar_Danladi
JI2505,Jigawa_Sule Tankakar_Danzomo
JI2506,Jigawa_Sule Tankakar_Jeke
